Player,Pos,Age,Tm,G_p,MP_p,PER_p,TS%_p,3PAr_p,FTr_p,ORB%_p,DRB%_p,TRB%_p,AST%_p,STL%_p,BLK%_p,TOV%_p,USG%_p,OWS_p,DWS_p,WS_p,WS/48_p,OBPM_p,DBPM_p,BPM_p,VORP_p,Year,SeasonType,MPG_p
Al Horford,C,36,BOS,20,617,12.8,0.497,0.712,0.03,5.7,20.4,13.3,12.5,1.8,4.9,7.6,10.6,0.6,0.9,1.5,0.118,-0.4,3.2,2.8,0.7,2023,Playoffs,30.85
Al-Farouq Aminu,PF,28,POR,16,399,11.0,0.473,0.468,0.33,7.7,18.9,13.3,7.5,1.1,2.1,11.4,15.3,0.1,0.3,0.4,0.052,-0.8,-0.1,-0.9,0.1,2019,Playoffs,24.9375
Alec Burks,SG,28,PHI,4,95,9.4,0.397,0.327,0.184,7.7,9.3,8.5,14.1,0.5,3.0,5.4,25.7,-0.1,0.0,-0.1,-0.065,-0.8,-2.7,-3.5,0.0,2020,Playoffs,23.75
Alec Burks,SG,29,NYK,5,128,16.0,0.544,0.429,0.339,3.9,17.6,10.3,19.2,0.4,0.0,5.9,23.7,0.2,0.1,0.3,0.12,2.3,1.6,3.9,0.2,2021,Playoffs,25.6
Alex Caruso,PG,25,LAL,21,510,9.9,0.543,0.54,0.265,3.5,7.6,5.6,15.2,2.2,2.3,19.7,13.4,0.2,0.6,0.8,0.08,-2.4,1.9,-0.5,0.2,2020,Playoffs,24.285714285714285
Alex Caruso,PG,26,LAL,6,121,3.0,0.45,0.447,0.053,1.8,5.9,3.7,4.1,0.4,3.2,15.3,16.9,-0.3,0.1,-0.1,-0.055,-5.4,-0.3,-5.7,-0.1,2021,Playoffs,20.166666666666668
Alex Caruso,SG,27,CHI,4,113,12.4,0.543,0.783,0.0,1.6,8.7,4.9,22.2,2.1,3.5,4.2,9.3,0.1,0.2,0.3,0.128,-0.6,3.9,3.3,0.2,2022,Playoffs,28.25
Alex Len,C,27,WAS,5,42,15.3,0.585,0.0,0.5,10.0,18.9,14.3,7.3,1.1,0.0,5.5,18.0,0.1,0.0,0.1,0.102,-0.6,-1.2,-1.8,0.0,2021,Playoffs,8.4
Alex Len,C,29,SAC,7,54,11.2,0.816,0.0,0.667,12.8,25.3,18.9,2.6,0.0,5.3,37.6,13.7,0.0,0.1,0.1,0.084,-6.3,1.3,-5.0,0.0,2023,Playoffs,7.714285714285714
Alfonzo McKinnie,SF,26,GSW,22,235,7.5,0.521,0.542,0.169,8.6,15.7,12.2,2.3,0.4,0.4,8.6,12.8,0.1,0.1,0.2,0.04,-3.1,-1.8,-4.9,-0.2,2019,Playoffs,10.681818181818182
Andre Drummond,C,25,DET,4,127,15.6,0.451,0.019,0.389,13.9,29.3,20.6,12.0,2.2,3.6,14.8,24.5,-0.2,0.1,-0.1,-0.042,-1.9,-1.0,-2.9,0.0,2019,Playoffs,31.75
Andre Drummond,C,27,LAL,5,105,19.2,0.618,0.0,0.313,19.6,40.5,29.6,0.0,1.9,2.8,23.2,20.1,0.0,0.2,0.2,0.112,-0.5,0.7,0.2,0.1,2021,Playoffs,21.0
Andre Drummond,C,28,BRK,4,60,10.0,0.568,0.0,0.455,6.5,19.7,13.1,7.0,4.3,4.8,31.3,14.7,-0.1,0.1,0.0,-0.012,-4.9,1.7,-3.2,0.0,2022,Playoffs,15.0
Andre Iguodala,SF,35,GSW,21,629,15.2,0.565,0.482,0.223,5.1,11.4,8.3,18.4,1.9,3.6,10.3,14.0,1.1,0.5,1.5,0.117,1.7,2.0,3.7,0.9,2019,Playoffs,29.952380952380953
Andre Iguodala,SF,36,MIA,21,410,9.3,0.58,0.6,0.108,3.2,11.7,7.6,10.7,2.1,3.1,17.1,9.1,0.2,0.5,0.7,0.082,-1.6,2.2,0.6,0.3,2020,Playoffs,19.523809523809526
Andre Iguodala,SF,37,MIA,4,71,9.5,0.682,0.636,0.0,3.9,12.9,8.2,11.2,2.7,2.6,31.3,9.9,0.0,0.1,0.1,0.043,-2.7,3.3,0.6,0.0,2021,Playoffs,17.75
Andre Iguodala,SF,38,GSW,7,61,8.0,0.533,0.333,0.333,5.7,7.2,6.4,24.7,0.0,3.3,27.9,10.3,0.1,0.0,0.1,0.077,-2.7,0.5,-2.2,0.0,2022,Playoffs,8.714285714285714
Andrew Bogut,C,34,GSW,19,179,17.3,0.663,0.0,0.135,15.2,31.9,23.8,16.4,1.4,3.3,20.3,11.9,0.5,0.2,0.7,0.186,-1.0,2.8,1.8,0.2,2019,Playoffs,9.421052631578947
Andrew Wiggins,SF,26,GSW,22,767,16.0,0.544,0.344,0.213,8.1,15.8,12.1,7.7,1.4,3.0,8.3,20.8,0.8,0.9,1.7,0.108,0.5,0.3,0.8,0.5,2022,Playoffs,34.86363636363637
Andrew Wiggins,SF,27,GSW,13,442,13.3,0.538,0.354,0.26,5.5,11.6,8.5,8.2,1.2,2.9,7.8,20.4,0.3,0.5,0.8,0.085,-1.3,0.4,-0.9,0.1,2023,Playoffs,34.0
Anfernee Simons,SG,20,POR,4,82,10.5,0.471,0.538,0.231,1.3,12.9,7.1,17.8,3.4,0.0,12.3,16.6,0.0,0.1,0.1,0.034,0.1,0.8,0.9,0.1,2020,Playoffs,20.5
Anfernee Simons,SG,21,POR,6,107,15.2,0.78,0.72,0.0,3.3,13.7,8.6,6.5,0.9,0.9,3.8,11.0,0.3,0.0,0.3,0.132,3.8,-0.2,3.6,0.2,2021,Playoffs,17.833333333333332
Anthony Davis,PF,26,LAL,21,769,29.6,0.665,0.167,0.499,8.5,22.7,15.6,16.1,1.7,3.8,10.8,27.8,3.3,1.2,4.5,0.284,6.5,2.1,8.7,2.1,2020,Playoffs,36.61904761904762
Anthony Davis,PF,27,LAL,5,144,20.9,0.541,0.177,0.677,5.3,21.3,12.9,16.7,1.1,5.4,6.9,26.8,0.2,0.2,0.5,0.159,3.2,2.8,6.0,0.3,2021,Playoffs,28.8
Anthony Davis,C,29,LAL,16,608,24.0,0.599,0.059,0.425,7.0,30.9,19.7,10.7,1.8,7.4,10.1,24.2,1.1,1.4,2.6,0.202,2.8,3.0,5.7,1.2,2023,Playoffs,38.0
Anthony Edwards,SG,20,MIN,6,227,17.8,0.604,0.518,0.309,2.1,9.8,6.1,14.8,1.4,2.6,10.7,26.4,0.3,0.2,0.5,0.102,3.2,0.2,3.5,0.3,2022,Playoffs,37.833333333333336
Anthony Edwards,SG,21,MIN,5,199,27.5,0.602,0.377,0.342,1.7,13.2,7.3,26.4,2.3,4.4,5.7,32.3,0.6,0.2,0.8,0.19,7.3,3.2,10.4,0.6,2023,Playoffs,39.8
Aron Baynes,C,32,BOS,9,115,6.7,0.638,0.429,0.143,5.6,16.1,11.1,3.9,1.3,2.4,25.2,7.6,0.0,0.2,0.2,0.1,-4.4,2.1,-2.3,0.0,2019,Playoffs,12.777777777777779
Austin Reaves,SG,24,LAL,16,579,15.4,0.616,0.454,0.294,3.9,8.9,6.5,18.2,0.8,0.5,10.2,18.5,1.2,0.4,1.6,0.135,2.0,0.2,2.2,0.6,2023,Playoffs,36.1875
Austin Rivers,SG,26,HOU,10,215,8.4,0.572,0.565,0.097,1.1,9.7,5.5,7.2,1.2,0.4,11.0,14.8,0.2,0.2,0.3,0.072,-2.5,0.4,-2.0,0.0,2019,Playoffs,21.5
Austin Rivers,SG,27,HOU,12,211,5.4,0.427,0.574,0.213,1.0,15.6,7.9,11.1,1.6,0.5,10.7,15.9,-0.3,0.3,0.0,-0.001,-4.9,0.1,-4.8,-0.1,2020,Playoffs,17.583333333333332
Austin Rivers,SG,28,DEN,10,305,7.5,0.605,0.667,0.232,0.3,6.4,3.1,9.0,0.3,0.9,10.6,12.1,0.3,-0.1,0.1,0.022,-3.4,-1.0,-4.4,-0.2,2021,Playoffs,30.5
Austin Rivers,SG,29,DEN,5,108,6.1,0.569,0.667,0.056,0.0,3.5,1.7,7.4,3.2,1.0,17.8,9.0,0.0,0.0,0.0,0.003,-3.5,1.1,-2.4,0.0,2022,Playoffs,21.6
Austin Rivers,SG,30,MIN,4,46,7.8,0.625,0.75,0.0,2.5,10.4,6.3,3.2,1.1,0.0,11.1,9.0,0.0,0.0,0.0,0.024,-2.8,0.5,-2.2,0.0,2023,Playoffs,11.5
Ayo Dosunmu,SG,22,CHI,5,86,6.0,0.378,0.5,0.038,4.3,11.4,7.6,19.2,0.6,0.0,10.2,15.0,-0.1,0.1,-0.1,-0.029,-3.9,-1.4,-5.3,-0.1,2022,Playoffs,17.2
Bam Adebayo,PF,22,MIA,19,687,20.8,0.625,0.005,0.523,8.2,24.2,16.5,20.5,1.4,2.3,14.8,21.0,1.7,0.9,2.6,0.18,2.3,1.8,4.1,1.0,2020,Playoffs,36.1578947368421
Bam Adebayo,C,23,MIA,4,136,14.9,0.494,0.0,0.228,9.6,17.2,13.2,23.8,1.8,1.3,14.9,23.8,-0.1,0.1,0.0,0.011,0.4,0.5,0.9,0.1,2021,Playoffs,34.0
Bam Adebayo,C,24,MIA,18,614,17.9,0.638,0.006,0.434,6.9,21.3,13.8,12.6,1.5,2.3,15.4,17.9,1.2,1.0,2.2,0.169,0.9,2.0,2.9,0.8,2022,Playoffs,34.111111111111114
Bam Adebayo,C,25,MIA,23,850,15.8,0.53,0.009,0.274,8.3,22.5,15.3,15.9,1.2,1.8,13.8,23.8,0.3,1.1,1.4,0.078,-1.2,0.6,-0.6,0.3,2023,Playoffs,36.95652173913044
Ben McLemore,SF,26,HOU,11,130,9.0,0.55,0.9,0.0,1.6,8.1,4.7,7.0,1.5,0.0,7.0,14.8,0.0,0.1,0.2,0.061,0.1,-0.7,-0.6,0.0,2020,Playoffs,11.818181818181818
Ben McLemore,SG,27,LAL,4,36,1.0,0.333,0.667,0.0,3.0,19.7,11.0,4.2,1.4,0.0,10.0,12.4,-0.1,0.0,0.0,-0.039,-6.6,1.4,-5.2,0.0,2021,Playoffs,9.0
Ben Simmons,PG,22,PHI,12,421,18.0,0.625,0.0,0.345,6.5,14.9,10.9,26.3,1.7,2.6,19.3,16.6,0.8,0.6,1.4,0.161,1.6,2.0,3.7,0.6,2019,Playoffs,35.083333333333336
Ben Simmons,PG,24,PHI,12,402,18.1,0.562,0.011,0.768,7.1,18.5,13.0,35.7,1.8,2.0,17.5,16.5,0.7,0.7,1.4,0.173,1.5,2.8,4.3,0.6,2021,Playoffs,33.5
Bismack Biyombo,C,29,PHO,9,86,11.4,0.636,0.0,0.353,11.4,14.8,13.1,8.0,0.6,2.3,23.4,13.7,0.1,0.0,0.1,0.054,-2.8,0.5,-2.3,0.0,2022,Playoffs,9.555555555555555
Bismack Biyombo,C,30,PHO,8,78,15.4,0.564,0.0,1.125,15.3,24.9,20.2,9.8,0.0,10.6,20.1,16.9,0.1,0.1,0.1,0.088,-4.4,2.9,-1.5,0.0,2023,Playoffs,9.75
Blake Griffin,PF,29,DET,2,58,25.3,0.582,0.333,0.179,6.1,16.1,10.4,43.9,1.6,0.0,12.5,34.7,0.1,0.0,0.1,0.089,9.5,0.4,10.0,0.2,2019,Playoffs,29.0
Blake Griffin,PF,31,BRK,12,318,14.6,0.634,0.456,0.177,5.4,18.6,12.3,9.3,1.6,1.7,5.5,12.9,0.7,0.5,1.2,0.181,0.9,1.6,2.4,0.4,2021,Playoffs,26.5
Boban Marjanović,C,30,PHI,11,105,21.7,0.662,0.075,0.475,14.1,22.5,18.6,17.7,0.9,2.6,22.5,25.1,0.2,0.2,0.4,0.173,0.2,0.6,0.8,0.1,2019,Playoffs,9.545454545454545
Boban Marjanović,C,31,DAL,6,82,19.8,0.604,0.033,0.3,7.9,39.1,23.3,9.3,0.0,2.1,8.1,19.4,0.2,0.0,0.2,0.11,1.9,-1.1,0.8,0.1,2020,Playoffs,13.666666666666666
Boban Marjanović,C,32,DAL,4,83,20.4,0.547,0.0,0.231,18.6,26.6,22.4,8.4,0.0,1.3,8.5,25.7,0.2,0.0,0.2,0.102,1.8,-1.5,0.3,0.0,2021,Playoffs,20.75
Bobby Portis,C,25,MIL,20,366,17.1,0.543,0.344,0.166,9.5,20.0,14.6,4.8,1.9,1.7,5.3,20.0,0.5,0.7,1.2,0.159,0.9,0.0,1.0,0.3,2021,Playoffs,18.3
Bobby Portis,C,26,MIL,12,298,13.7,0.509,0.409,0.191,8.9,31.6,20.6,4.7,0.8,1.0,11.4,20.4,0.0,0.7,0.6,0.101,-0.2,-0.3,-0.5,0.1,2022,Playoffs,24.833333333333332
Bobby Portis,PF,27,MIL,5,107,16.2,0.567,0.439,0.073,10.1,34.1,21.6,7.9,1.3,1.6,8.6,18.2,0.1,0.1,0.2,0.103,-0.5,-0.3,-0.8,0.0,2023,Playoffs,21.4
Bogdan Bogdanović,SG,28,ATL,18,598,10.9,0.493,0.574,0.068,2.0,11.6,6.8,13.4,2.4,0.7,9.5,21.0,-0.4,0.9,0.5,0.037,-0.1,0.5,0.4,0.4,2021,Playoffs,33.22222222222222
Bogdan Bogdanović,SG,29,ATL,4,107,15.6,0.534,0.531,0.204,4.4,17.3,10.7,21.2,0.5,1.0,7.0,24.7,0.2,0.0,0.2,0.09,1.6,-0.5,1.1,0.1,2022,Playoffs,26.75
Bogdan Bogdanović,SG,30,ATL,6,157,19.1,0.701,0.611,0.13,1.3,12.1,6.2,13.2,1.8,3.0,5.0,15.7,0.5,0.0,0.5,0.165,3.3,2.7,6.0,0.3,2023,Playoffs,26.166666666666668
Bojan Bogdanović,SF,29,IND,4,148,15.2,0.511,0.349,0.27,2.0,16.3,8.5,14.1,2.7,0.0,7.8,23.7,0.0,0.3,0.3,0.085,0.4,1.4,1.9,0.1,2019,Playoffs,37.0
Bojan Bogdanović,SF,31,UTA,11,390,13.8,0.642,0.555,0.299,1.9,11.7,7.0,6.2,1.3,0.0,12.9,20.2,0.6,0.0,0.5,0.067,1.1,-0.6,0.5,0.2,2021,Playoffs,35.45454545454545
Bojan Bogdanović,PF,32,UTA,6,214,13.1,0.59,0.407,0.296,1.6,11.9,6.8,8.5,0.5,0.0,11.6,22.7,0.2,0.0,0.3,0.057,0.2,-0.7,-0.5,0.1,2022,Playoffs,35.666666666666664
Bones Hyland,SG,21,DEN,5,87,13.6,0.546,0.639,0.389,1.4,13.2,7.1,27.4,0.6,0.0,12.5,24.1,0.2,-0.1,0.1,0.058,0.9,-2.1,-1.1,0.0,2022,Playoffs,17.4
Bones Hyland,PG,22,LAC,5,82,8.0,0.444,0.455,0.227,1.3,4.5,2.8,7.3,2.4,0.9,7.6,26.9,-0.1,0.0,-0.1,-0.086,-4.7,-2.2,-6.8,-0.1,2023,Playoffs,16.4
Brad Wanamaker,PG,30,BOS,17,273,11.1,0.626,0.45,0.267,0.9,12.7,7.0,16.1,2.2,1.5,21.2,13.9,0.2,0.5,0.6,0.111,-1.7,2.9,1.2,0.2,2020,Playoffs,16.058823529411764
Bradley Beal,SG,27,WAS,5,195,17.5,0.54,0.26,0.293,3.2,14.5,8.7,19.3,1.0,1.2,12.6,34.1,-0.1,0.0,0.0,-0.01,3.9,-2.3,1.6,0.2,2021,Playoffs,39.0
Brandon Clarke,PF,25,MEM,12,296,22.4,0.645,0.011,0.593,12.5,17.3,14.8,12.7,1.4,3.3,9.5,17.5,1.0,0.4,1.4,0.226,3.5,1.4,4.8,0.5,2022,Playoffs,24.666666666666668
Brandon Ingram,SF,24,NOP,6,236,21.3,0.584,0.229,0.398,1.9,17.7,9.3,27.3,0.9,0.7,14.2,29.5,0.6,0.0,0.6,0.12,4.5,-0.5,3.9,0.4,2022,Playoffs,39.333333333333336
Brook Lopez,C,30,MIL,15,438,13.9,0.572,0.56,0.216,2.9,15.5,9.4,7.1,0.7,5.8,6.4,15.3,0.6,0.8,1.4,0.153,0.0,2.4,2.4,0.5,2019,Playoffs,29.2
Brook Lopez,C,31,MIL,10,328,17.1,0.643,0.465,0.175,6.1,12.0,9.0,2.4,1.5,4.3,8.9,17.7,0.6,0.5,1.0,0.149,1.8,1.4,3.2,0.4,2020,Playoffs,32.8
Brook Lopez,C,32,MIL,23,667,16.9,0.632,0.332,0.198,7.6,14.3,10.9,1.3,1.3,4.7,9.6,16.8,1.1,1.3,2.4,0.17,0.6,1.5,2.1,0.7,2021,Playoffs,29.0
Brook Lopez,C,33,MIL,12,332,15.0,0.566,0.275,0.225,8.6,13.1,11.0,3.7,0.9,5.5,8.9,16.1,0.4,0.7,1.1,0.159,-0.4,1.4,1.0,0.2,2022,Playoffs,27.666666666666668
Brook Lopez,C,34,MIL,5,182,18.4,0.653,0.254,0.194,8.3,11.6,9.9,4.8,1.8,4.4,13.1,19.4,0.3,0.1,0.4,0.113,1.0,0.4,1.4,0.2,2023,Playoffs,36.4
Bruce Brown,SG,22,DET,4,57,4.6,0.437,0.357,0.143,1.6,14.3,7.1,5.1,1.7,1.6,11.8,12.4,-0.1,0.0,-0.1,-0.063,-6.2,-0.3,-6.4,-0.1,2019,Playoffs,14.25
Bruce Brown,PG,24,BRK,12,277,14.0,0.552,0.139,0.203,9.6,14.5,12.2,13.0,1.4,1.6,11.3,15.9,0.4,0.4,0.8,0.137,-0.3,1.0,0.7,0.2,2021,Playoffs,23.083333333333332
Bruce Brown,SF,25,BRK,4,139,15.4,0.676,0.378,0.27,5.6,12.3,8.9,11.9,1.8,2.1,17.9,16.6,0.3,0.0,0.2,0.078,2.1,0.3,2.4,0.2,2022,Playoffs,34.75
Bruce Brown,SF,26,DEN,20,530,15.5,0.607,0.324,0.278,3.4,13.8,8.8,10.2,2.0,1.5,10.4,18.7,0.8,0.7,1.6,0.141,-0.3,1.4,1.1,0.4,2023,Playoffs,26.5
Bryn Forbes,SG,25,SAS,7,212,11.6,0.625,0.554,0.161,0.5,12.1,6.3,4.8,0.2,0.4,4.8,13.7,0.4,0.0,0.4,0.082,-0.2,-0.6,-0.8,0.1,2019,Playoffs,30.285714285714285
Bryn Forbes,SG,27,MIL,20,273,10.5,0.567,0.795,0.071,0.8,10.4,5.5,3.1,0.4,0.7,5.7,19.2,0.2,0.3,0.5,0.093,-0.1,-0.6,-0.7,0.1,2021,Playoffs,13.65
Bryn Forbes,SG,28,DEN,5,76,7.8,0.581,0.733,0.333,1.6,3.4,2.4,12.4,0.7,0.0,10.4,11.0,0.1,-0.1,0.0,0.028,-0.8,-1.9,-2.8,0.0,2022,Playoffs,15.2
CJ McCollum,SG,27,POR,16,635,17.9,0.527,0.334,0.16,2.3,11.0,6.7,16.8,1.0,1.3,7.4,27.6,0.8,0.3,1.0,0.079,3.4,-0.7,2.6,0.7,2019,Playoffs,39.6875
CJ McCollum,SG,28,POR,5,196,14.9,0.534,0.354,0.222,2.7,12.9,7.8,14.6,1.4,0.9,12.1,26.3,0.0,0.1,0.1,0.021,2.4,-1.4,1.0,0.1,2020,Playoffs,39.2
CJ McCollum,SG,29,POR,6,240,12.8,0.518,0.368,0.114,3.0,14.1,8.7,17.0,0.4,1.5,9.1,24.7,0.1,0.0,0.0,0.007,-0.4,-2.9,-3.3,-0.1,2021,Playoffs,40.0
CJ McCollum,SG,30,NOP,6,234,15.5,0.487,0.408,0.208,5.2,15.7,10.1,20.5,0.9,1.8,9.9,27.9,0.2,0.0,0.2,0.047,2.6,-2.0,0.6,0.2,2022,Playoffs,39.0
Caleb Martin,SF,26,MIA,17,209,9.3,0.46,0.413,0.075,6.5,14.6,10.4,3.7,2.4,1.0,10.8,19.7,-0.3,0.3,0.1,0.016,-2.4,0.1,-2.3,0.0,2022,Playoffs,12.294117647058824
Caleb Martin,SF,27,MIA,23,694,15.3,0.657,0.505,0.17,4.4,16.4,10.3,7.8,1.5,1.3,9.8,15.9,1.2,0.8,2.0,0.14,0.6,1.7,2.3,0.8,2023,Playoffs,30.17391304347826
Cam Reddish,SF,21,ATL,4,92,19.2,0.668,0.389,0.139,1.2,15.3,8.3,12.6,3.2,1.9,11.6,20.8,0.2,0.2,0.3,0.173,2.6,3.9,6.5,0.2,2021,Playoffs,23.0
Cameron Johnson,PF,24,PHO,21,443,14.8,0.693,0.673,0.291,4.3,11.9,8.3,5.0,2.2,0.8,10.8,14.3,0.8,0.7,1.5,0.163,2.4,1.9,4.3,0.7,2021,Playoffs,21.095238095238095
Cameron Johnson,PF,25,PHO,13,320,13.8,0.619,0.596,0.323,3.4,13.3,8.5,8.8,0.8,0.3,9.6,18.0,0.6,0.0,0.6,0.094,0.9,-0.5,0.4,0.2,2022,Playoffs,24.615384615384617
Cameron Johnson,PF,26,BRK,4,152,16.4,0.637,0.509,0.127,2.3,14.9,8.7,13.8,1.1,0.6,7.9,20.4,0.2,0.1,0.3,0.105,2.2,1.0,3.2,0.2,2023,Playoffs,38.0
Cameron Payne,PG,26,PHO,22,418,15.1,0.51,0.358,0.093,1.7,12.3,7.3,25.5,2.1,2.4,10.7,24.6,0.0,0.7,0.7,0.078,1.1,1.1,2.2,0.4,2021,Playoffs,19.0
Cameron Payne,PG,27,PHO,13,172,3.4,0.352,0.405,0.081,1.4,12.1,6.9,21.5,2.1,0.6,14.5,24.0,-0.6,0.1,-0.5,-0.134,-7.2,-1.8,-9.0,-0.3,2022,Playoffs,13.23076923076923
Cameron Payne,PG,28,PHO,7,152,10.3,0.578,0.563,0.063,0.0,10.5,5.4,17.6,1.0,1.1,15.4,16.9,0.0,0.0,0.1,0.017,-1.3,-0.4,-1.7,0.0,2023,Playoffs,21.714285714285715
Caris LeVert,SF,24,BRK,5,144,23.2,0.612,0.356,0.397,4.0,13.2,8.2,18.9,1.6,1.0,10.4,26.9,0.4,0.0,0.4,0.138,4.9,0.9,5.7,0.3,2019,Playoffs,28.8
Caris LeVert,SG,25,BRK,4,140,17.1,0.482,0.288,0.342,5.4,12.4,8.6,48.3,1.7,0.7,13.4,28.5,0.0,0.0,0.0,0.0,3.2,-0.7,2.6,0.2,2020,Playoffs,35.0
Caris LeVert,SG,28,CLE,5,170,12.4,0.546,0.571,0.206,2.9,12.5,7.9,13.3,0.6,0.5,6.8,20.3,0.1,0.2,0.3,0.092,1.2,0.8,2.1,0.2,2023,Playoffs,34.0
Carmelo Anthony,PF,35,POR,5,176,8.4,0.512,0.279,0.206,0.6,14.4,7.5,9.1,1.3,1.0,14.9,20.6,-0.2,0.1,-0.1,-0.021,-2.3,-0.7,-2.9,0.0,2020,Playoffs,35.2
Carmelo Anthony,PF,36,POR,6,143,12.2,0.571,0.617,0.183,1.7,13.4,7.7,9.4,0.7,0.6,9.7,22.7,0.1,0.0,0.1,0.023,0.3,-2.1,-1.8,0.0,2021,Playoffs,23.833333333333332
Cedi Osman,SF,27,CLE,5,93,6.7,0.518,0.8,0.36,1.3,16.8,9.4,8.4,1.1,1.0,14.7,17.1,-0.1,0.1,0.1,0.038,-4.1,1.4,-2.8,0.0,2023,Playoffs,18.6
Chris Boucher,C,27,TOR,7,43,4.3,0.35,0.455,0.091,7.4,23.1,15.0,3.2,0.0,5.0,8.0,12.8,-0.1,0.1,0.0,0.013,-5.0,-2.2,-7.2,-0.1,2020,Playoffs,6.142857142857143
Chris Boucher,SF,29,TOR,6,130,24.5,0.722,0.357,0.238,10.4,24.1,16.6,1.3,0.4,5.9,4.1,17.3,0.5,0.0,0.6,0.209,4.8,0.4,5.2,0.2,2022,Playoffs,21.666666666666668
Chris Chiozza,PG,24,BRK,4,65,13.0,0.446,0.667,0.167,1.4,8.3,4.7,41.4,3.6,0.0,10.4,18.2,0.0,0.0,0.0,0.016,-0.2,1.5,1.3,0.1,2020,Playoffs,16.25
Chris Paul,PG,33,HOU,11,397,17.6,0.557,0.426,0.304,4.1,15.4,9.9,25.1,3.0,1.6,18.1,22.7,0.5,0.6,1.1,0.132,0.7,1.7,2.5,0.4,2019,Playoffs,36.09090909090909
Chris Paul,PG,34,OKC,7,261,19.3,0.604,0.384,0.232,1.2,18.9,10.4,26.1,2.0,1.4,15.7,24.2,0.4,0.4,0.8,0.141,1.9,2.2,4.1,0.4,2020,Playoffs,37.285714285714285
Chris Paul,PG,35,PHO,20,683,20.7,0.584,0.217,0.217,1.6,9.4,5.7,39.5,1.7,0.4,11.6,24.8,1.7,0.9,2.5,0.178,4.3,0.7,5.0,1.2,2021,Playoffs,34.15
Chris Paul,PG,36,PHO,13,448,22.8,0.666,0.316,0.239,1.9,12.1,7.2,36.4,2.2,0.4,15.3,20.8,1.6,0.2,1.8,0.196,3.7,1.2,4.9,0.8,2022,Playoffs,34.46153846153846
Chris Paul,PG,37,PHO,7,250,14.7,0.469,0.308,0.044,2.4,13.7,8.2,27.9,2.4,1.7,7.0,17.5,0.2,0.1,0.3,0.064,0.2,0.7,0.8,0.2,2023,Playoffs,35.714285714285715
Christian Braun,SG,21,DEN,19,247,9.5,0.572,0.222,0.422,5.9,12.3,9.2,5.7,2.3,1.4,15.8,11.5,0.1,0.4,0.5,0.091,-3.3,2.0,-1.4,0.0,2023,Playoffs,13.0
Clint Capela,C,24,HOU,11,331,15.7,0.549,0.0,0.427,14.4,23.8,19.2,7.7,0.4,3.4,14.1,15.0,0.5,0.4,0.9,0.129,0.3,-1.0,-0.6,0.1,2019,Playoffs,30.09090909090909
